 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1367,364,5428.670,3448,7132,24.150,19.191,43.642,0.886,1.258,0.795,0.931
1368,384,4644.284,3384,6427,23.744,20.592,141.912,0.841,1.153,0.867,0.924
1369,394,5271.312,3387,7442,24.088,20.826,10.727,0.914,1.157,0.865,0.949
1370,343,5291.216,3402,7186,22.135,19.730,58.299,0.905,1.122,0.891,0.932
1371,400,4691.177,3387,6379,23.202,21.951,106.473,0.863,1.057,0.946,0.926
1372,373,4438.952,3384,6014,24.404,19.461,36.309,0.894,1.254,0.797,0.929
1373,311,5493.084,3409,8078,22.793,17.373,17.791,0.892,1.312,0.762,0.934
1374,382,4926.353,3419,6683,25.802,18.850,102.738,0.861,1.369,0.731,0.934
1375,406,4886.032,3384,6300,23.702,21.810,48.290,0.936,1.087,0.920,0.950
1376,477,5137.774,3395,7016,26.824,22.642,2.659,0.870,1.185,0.844,0.942
1377,387,5192.313,3385,7642,24.700,19.949,97.952,0.912,1.238,0.808,0.953
1378,379,5171.404,3383,7802,23.696,20.365,96.350,0.929,1.164,0.859,0.951
1379,436,4580.122,3385,6787,26.923,20.619,21.216,0.854,1.306,0.766,0.926
1380,408,4720.191,3382,6807,26.154,19.862,31.983,0.848,1.317,0.759,0.919
1381,398,5226.329,3383,7021,25.721,19.702,164.498,0.903,1.306,0.766,0.943
1382,326,5832.546,3402,7923,20.767,19.987,87.147,0.912,1.039,0.962,0.934
1383,377,5259.236,3410,6923,22.355,21.472,159.765,0.889,1.041,0.961,0.947
1384,450,5257.093,3399,6627,25.101,22.826,20.556,0.876,1.100,0.909,0.923
1385,267,7225.633,3395,11573,19.411,17.513,112.928,0.901,1.108,0.902,0.919
1386,321,5802.502,3389,7955,21.367,19.128,84.366,0.905,1.117,0.895,0.930
1387,396,4760.093,3398,6353,23.777,21.205,122.472,0.873,1.121,0.892,0.926
1388,394,4716.299,3412,6859,23.229,21.597,78.824,0.888,1.076,0.930,0.935
1389,439,5107.576,3389,7130,24.629,22.695,96.624,0.865,1.085,0.921,0.939
1390,357,5410.193,3407,7133,24.006,18.934,131.969,0.847,1.268,0.789,0.918
1391,398,4979.646,3386,6656,23.521,21.544,56.535,0.897,1.092,0.916,0.941
1392,431,5576.053,3408,7730,25.042,21.914,179.103,0.907,1.143,0.875,0.942
1393,419,4572.415,3382,5688,23.739,22.473,51.043,0.882,1.056,0.947,0.934
1394,377,4647.764,3388,6013,24.678,19.451,102.519,0.875,1.269,0.788,0.947
1395,361,5619.208,3395,7325,23.405,19.639,173.134,0.906,1.192,0.839,0.934
1396,394,5030.383,3387,6617,25.200,19.907,121.008,0.929,1.266,0.790,0.955
1397,280,6679.050,3404,10546,23.293,15.306,91.564,0.883,1.522,0.657,0.948
1398,245,7820.347,3415,11620,21.708,14.370,78.699,0.857,1.511,0.662,0.933
1399,406,4931.877,3395,6594,24.594,21.019,59.103,0.915,1.170,0.855,0.940
1400,237,8325.030,3410,13934,18.760,16.085,137.342,0.887,1.166,0.857,0.915
1401,367,4746.896,3395,6218,23.681,19.732,25.065,0.894,1.200,0.833,0.935
1402,385,4973.291,3393,6476,23.790,20.605,124.713,0.908,1.155,0.866,0.941
1403,382,4891.634,3417,6592,24.028,20.242,46.929,0.895,1.187,0.842,0.942
1404,413,4502.479,3395,6086,25.302,20.783,67.724,0.816,1.217,0.821,0.928
1405,362,5710.268,3393,7746,21.830,21.114,43.766,0.881,1.034,0.967,0.932
1406,330,5239.706,3444,6878,26.458,15.880,81.543,0.822,1.666,0.600,0.939
1407,292,5919.247,3402,8190,19.683,18.888,171.535,0.931,1.042,0.960,0.943
1408,380,5510.063,3393,7395,23.299,20.766,20.816,0.932,1.122,0.891,0.952
1409,376,4408.255,3395,5722,24.347,19.663,139.871,0.847,1.238,0.808,0.925
1410,410,4803.763,3400,6627,25.373,20.574,11.654,0.882,1.233,0.811,0.944
1411,471,5377.291,3445,7531,27.348,21.928,118.630,0.904,1.247,0.802,0.946
1412,252,7902.020,3396,12058,18.616,17.235,126.467,0.935,1.080,0.926,0.932
1413,483,8471.656,3385,19178,28.837,21.326,158.515,0.847,1.352,0.740,0.926
1414,421,5151.998,3389,6666,25.766,20.804,18.836,0.906,1.238,0.807,0.952
1415,303,5644.944,3398,7937,21.906,17.611,115.716,0.833,1.244,0.804,0.909
1416,338,5157.337,3433,6728,25.647,16.780,45.957,0.856,1.528,0.654,0.920
1417,291,6155.608,3397,10026,20.495,18.078,56.699,0.874,1.134,0.882,0.917
